PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
1,9/12/24,1,1,"Wolff, Devin",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
2,9/12/24,1,2,"Wolff, Devin",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,1,Top,0,0,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
3,9/12/24,1,3,"Wolff, Devin",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,1,Top,0,0,2,Splitter ,StrikeSwinging,Strikeout,Undefined,Out,1,0,
4,9/12/24,2,1,"Wolff, Devin",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
5,9/12/24,2,2,"Wolff, Devin",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,1,Top,1,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
6,9/12/24,2,3,"Wolff, Devin",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,1,Top,1,0,2,Fastball ,InPlay,Undefined,LineDrive,Single,0,0,93.4
7,9/12/24,3,1,"Wolff, Devin",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,1,Top,1,0,0,Fastball,InPlay,Undefined,GroundBall,Out,2,0,85.4
8,9/12/24,1,1,"Suchy, Cayden",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
9,9/12/24,1,2,"Suchy, Cayden",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
10,9/12/24,1,3,"Suchy, Cayden",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
11,9/12/24,1,4,"Suchy, Cayden",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
12,9/12/24,1,5,"Suchy, Cayden",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,3,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
13,9/12/24,1,6,"Suchy, Cayden",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,3,2,Slider,BallCalled,Walk,Undefined,Undefined,0,0,
14,9/12/24,2,1,"Suchy, Cayden",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,1,Bottom,0,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,78.3
15,9/12/24,3,1,"Suchy, Cayden",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,1,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
16,9/12/24,3,2,"Suchy, Cayden",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,1,Bottom,1,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
17,9/12/24,3,3,"Suchy, Cayden",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,1,Bottom,0,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
18,9/12/24,3,4,"Suchy, Cayden",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,1,Bottom,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
19,9/12/24,3,5,"Suchy, Cayden",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,1,Bottom,0,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
20,9/12/24,3,6,"Suchy, Cayden",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,1,Bottom,0,2,2,Fastball,InPlay,Undefined,FlyBall,Error,0,1,89.9
21,9/12/24,4,1,"Suchy, Cayden",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,1,Bottom,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
22,9/12/24,4,2,"Suchy, Cayden",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,1,Bottom,0,0,1,Slider,BallCalled,Undefined,Undefined,StolenBase,0,0,
23,9/12/24,4,3,"Suchy, Cayden",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,1,Bottom,0,1,1,Fastball,InPlay,Undefined,GroundBall,Out,1,1,90.5
24,9/12/24,5,1,"Suchy, Cayden",Left,UCO_HUS,"MacArthur, Grant",Right,UCO_HUS,1,Bottom,2,0,0,Changeup,InPlay,Undefined,FlyBall,Double,0,0,82
25,9/12/24,6,1,"Suchy, Cayden",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,1,Bottom,2,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
26,9/12/24,6,2,"Suchy, Cayden",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,1,Bottom,2,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
27,9/12/24,6,3,"Suchy, Cayden",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,1,Bottom,2,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
28,9/12/24,6,4,"Suchy, Cayden",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,1,Bottom,0,2,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
29,9/12/24,6,5,"Suchy, Cayden",Left,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,1,Bottom,0,2,2,Slider,InPlay,Undefined,LineDrive,Out,1,0,88.1
30,9/12/24,1,1,"Wolff, Devin",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,2,Top,0,0,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,68.4
31,9/12/24,2,1,"Wolff, Devin",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,2,Top,1,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,78.9
32,9/12/24,2,2,"Wolff, Devin",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,2,Top,0,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
33,9/12/24,2,3,"Wolff, Devin",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,2,Top,0,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,
34,9/12/24,3,1,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
35,9/12/24,3,2,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
36,9/12/24,3,3,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
37,9/12/24,3,4,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
38,9/12/24,3,5,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,3,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
39,9/12/24,3,6,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,3,2,Fastball,StrikeCalled,Strikeout,Undefined,Out,1,0,
40,9/12/24,1,1,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
41,9/12/24,1,2,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,1,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
42,9/12/24,1,3,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,1,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
43,9/12/24,1,4,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
44,9/12/24,1,5,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
45,9/12/24,1,6,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,3,2,Fastball,InPlay,Undefined,GroundBall,Single,0,0,95.3
46,9/12/24,2,1,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
47,9/12/24,2,2,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
48,9/12/24,2,3,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,0,1,1,Changeup,BallCalled,Undefined,Undefined,StolenBase,1,0,
49,9/12/24,2,4,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,1,2,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
50,9/12/24,2,5,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,0,2,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,58.3
51,9/12/24,3,1,"Suchy, Cayden",Left,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Bottom,2,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
52,9/12/24,3,2,"Suchy, Cayden",Left,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Bottom,0,1,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,73.9
53,9/12/24,1,1,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
54,9/12/24,1,2,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
55,9/12/24,1,3,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,1,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,
56,9/12/24,1,4,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,2,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
57,9/12/24,1,5,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
58,9/12/24,1,6,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,2,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
59,9/12/24,1,7,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,2,2,Cutter,StrikeSwinging,Strikeout,Undefined,Out,1,0,
60,9/12/24,2,1,"Meyers, Paxton",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,3,Top,1,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,74.1
61,9/12/24,3,1,"Meyers, Paxton",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
62,9/12/24,3,2,"Meyers, Paxton",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Top,2,1,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,
63,9/12/24,3,3,"Meyers, Paxton",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Top,2,2,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,93.9
64,9/12/24,1,1,"West, Charlie",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Bottom,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
65,9/12/24,1,2,"West, Charlie",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Bottom,0,0,1,Fastball,InPlay,Undefined,LineDrive,Single,0,0,92
66,9/12/24,2,1,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
67,9/12/24,2,2,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
68,9/12/24,2,3,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,
69,9/12/24,2,4,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,2,1,Fastball,BallCalled,Undefined,Undefined,PassedBall,0,0,
70,9/12/24,2,5,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,3,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
71,9/12/24,2,6,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,3,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,58.9
72,9/12/24,2,6,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Bottom,0,3,2,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,
73,9/12/24,3,1,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,WildPitch,0,0,
74,9/12/24,3,2,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
75,9/12/24,3,3,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,
76,9/12/24,3,4,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,2,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
77,9/12/24,3,5,"West, Charlie",Left,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Bottom,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
